ClienteID,Sexo,EstadoCivil,DomicilioDepartamento,DomicilioProvincia,DomicilioDistrito,FechaNacimiento,TipoPersona,VentaID
238074,femenino,soltero,la libertad,trujillo,trujillo,1971-08-28 00:00:00,persona natural,191703
238084,NO ESPECIFICA,"",arequipa,arequipa,miraflores,2017-08-01 00:00:00,persona jurídica,191717
238103,femenino,soltero,arequipa,castilla,ayo,1971-08-04 00:00:00,persona natural,191754
238074,femenino,soltero,la libertad,trujillo,trujillo,1971-08-28 00:00:00,persona natural,191764
238156,masculino,soltero,la libertad,trujillo,el porvenir,1959-10-17 00:00:00,persona natural,191833
238156,masculino,soltero,la libertad,trujillo,el porvenir,1959-10-17 00:00:00,persona natural,191834
238161,masculino,soltero,moquegua,mariscal nieto,moquegua,1984-08-22 00:00:00,persona natural,191836
238164,masculino,soltero,la libertad,trujillo,trujillo,1986-05-07 00:00:00,persona natural,191839
238168,masculino,casado,apurimac,abancay,abancay,1972-09-09 00:00:00,persona natural,191845
238172,masculino,soltero,arequipa,arequipa,jacobo hunter,1975-02-26 00:00:00,persona natural,191849
238173,masculino,casado,arequipa,arequipa,j.l. bustamante y rivero,1983-12-02 00:00:00,persona natural,191850
238179,femenino,soltero,arequipa,arequipa,paucarpata,1997-10-10 00:00:00,persona natural,191854
238181,masculino,soltero,la libertad,trujillo,salaverry,1975-02-11 00:00:00,persona natural,191855
238212,masculino,soltero,cuzco,la convencion,santa teresa,1994-07-14 00:00:00,persona natural,191873
238259,masculino,casado,piura,piura,piura,1980-09-03 00:00:00,persona natural,191912
238290,masculino,soltero,puno,san roman,juliaca,1982-05-08 00:00:00,persona natural,191950
238306,femenino,soltero,piura,talara,la brea,1997-07-28 00:00:00,persona natural,191964
238280,femenino,soltero,huanuco,huanuco,huanuco,1993-03-25 00:00:00,persona natural,191968
238280,femenino,soltero,huanuco,huanuco,huanuco,1993-03-25 00:00:00,persona natural,191969
238330,femenino,casado,piura,morropon,chulucanas,1979-07-26 00:00:00,persona natural,191982
238356,masculino,casado,arequipa,arequipa,mariano melgar,1987-05-05 00:00:00,persona natural,192013
238125,femenino,soltero,junin,huancayo,el tambo,1962-12-13 00:00:00,persona natural,192017
773,masculino,soltero,lima,lima,santa anita,1990-11-12 00:00:00,persona natural,192075
237610,masculino,soltero,tumbes,tumbes,tumbes,1981-05-05 00:00:00,persona natural,192099
238461,masculino,soltero,junin,huancayo,huancayo,1980-02-27 00:00:00,persona natural,192149
238462,masculino,soltero,cuzco,cusco,cuzco,1983-12-02 00:00:00,persona natural,192150
238492,femenino,soltero,tacna,tacna,coronel gregorio albarracin l.,1993-04-01 00:00:00,persona natural,192205
238513,femenino,soltero,puno,puno,puno,1973-01-17 00:00:00,persona natural,192221
238515,masculino,soltero,moquegua,mariscal nieto,moquegua,1986-01-27 00:00:00,persona natural,192226
238516,masculino,soltero,puno,puno,puno,1994-11-23 00:00:00,persona natural,192228
238524,femenino,soltero,madre de dios,tambopata,inambari,1985-04-15 00:00:00,persona natural,192235
238544,masculino,soltero,la libertad,pataz,parcoy,1987-06-30 00:00:00,persona natural,192263
238551,masculino,soltero,tacna,tacna,tacna,1988-05-08 00:00:00,persona natural,192267
238574,masculino,casado,cuzco,cusco,santiago,1992-12-09 00:00:00,persona natural,192292
238580,masculino,soltero,huanuco,huanuco,huanuco,1987-03-15 00:00:00,persona natural,192298
238600,femenino,soltero,huanuco,huanuco,huanuco,1993-02-12 00:00:00,persona natural,192330
238600,femenino,soltero,huanuco,huanuco,huanuco,1993-02-12 00:00:00,persona natural,192338
238631,masculino,viudo,arequipa,arequipa,socabaya,1968-10-24 00:00:00,persona natural,192367
237319,masculino,soltero,arequipa,arequipa,cerro colorado,1975-01-03 00:00:00,persona natural,192372
238655,masculino,soltero,moquegua,mariscal nieto,moquegua,1990-01-06 00:00:00,persona natural,192384
238660,masculino,soltero,moquegua,mariscal nieto,moquegua,1993-01-29 00:00:00,persona natural,192388
238663,masculino,soltero,piura,piura,castilla,1985-04-03 00:00:00,persona natural,192393
238673,femenino,soltero,huanuco,huanuco,huanuco,1978-02-10 00:00:00,persona natural,192408
238698,femenino,viudo,tacna,tacna,pocollay,1949-12-31 00:00:00,persona natural,192418
238628,masculino,casado,junin,huancayo,huancan,1993-06-16 00:00:00,persona natural,192442
238739,masculino,soltero,cuzco,cusco,wanchaq,1988-04-25 00:00:00,persona natural,192447
238743,masculino,soltero,la libertad,pataz,parcoy,1999-04-07 00:00:00,persona natural,192456
238631,masculino,viudo,arequipa,arequipa,socabaya,1968-10-24 00:00:00,persona natural,192477
237835,femenino,soltero,tacna,tacna,coronel gregorio albarracin l.,1968-12-15 00:00:00,persona natural,192507
237907,masculino,soltero,pasco,daniel a carrion,santa ana de tusi,1991-06-14 00:00:00,persona natural,192518
238812,femenino,soltero,junin,huancayo,chilca,1979-11-28 00:00:00,persona natural,192555
238812,femenino,soltero,junin,huancayo,chilca,1979-11-28 00:00:00,persona natural,192559
238816,masculino,soltero,junin,huancayo,chilca,1976-03-11 00:00:00,persona natural,192575
238837,masculino,soltero,la libertad,trujillo,salaverry,1982-06-06 00:00:00,persona natural,192613
238863,masculino,soltero,junin,jauja,el mantaro,1970-07-28 00:00:00,persona natural,192638
238880,masculino,soltero,junin,chanchamayo,chanchamayo (la merced),1998-03-20 00:00:00,persona natural,192647
238893,masculino,soltero,tacna,tacna,coronel gregorio albarracin l.,1983-03-05 00:00:00,persona natural,192662
238906,femenino,soltero,junin,huancayo,huancayo,1986-09-23 00:00:00,persona natural,192667
238901,masculino,casado,arequipa,arequipa,tiabaya,1988-10-05 00:00:00,persona natural,192701
238904,femenino,casado,huanuco,huanuco,amarilis,1955-01-23 00:00:00,persona natural,192706
238941,masculino,soltero,arequipa,arequipa,cayma,1992-12-20 00:00:00,persona natural,192712
238946,femenino,soltero,madre de dios,tambopata,tambopata,1967-10-13 00:00:00,persona natural,192719
238823,masculino,soltero,arequipa,arequipa,cerro colorado,1993-09-25 00:00:00,persona natural,192720
238953,femenino,soltero,la libertad,trujillo,trujillo,1990-08-01 00:00:00,persona natural,192734
238954,masculino,conviviente,cuzco,cusco,santiago,1988-09-01 00:00:00,persona natural,192736
238963,masculino,soltero,puno,san roman,juliaca,1968-09-02 00:00:00,persona natural,192743
238976,NO ESPECIFICA,"",piura,piura,26 de octubre,2015-09-10 00:00:00,persona jurídica,192759
238983,masculino,soltero,puno,el collao,ilave,1996-01-15 00:00:00,persona natural,192777
238999,masculino,soltero,huanuco,huanuco,huanuco,1962-03-01 00:00:00,persona natural,192786
238995,femenino,casado,puno,san roman,juliaca,1976-07-11 00:00:00,persona natural,192806
239011,masculino,soltero,arequipa,islay,mejia,1996-08-06 00:00:00,persona natural,192807
239030,femenino,soltero,puno,san roman,juliaca,1988-11-07 00:00:00,persona natural,192833
239036,masculino,soltero,la libertad,trujillo,el porvenir,1980-01-15 00:00:00,persona natural,192846
239039,masculino,soltero,cuzco,cusco,cuzco,1983-09-03 00:00:00,persona natural,192852
